T28: Car appeared at 47667, not in range
T28: Car appeared at 47682, not in range
T28: Car appeared at 47784, not in range
T29: Car appeared at 47440, not in range
T29: Car appeared at 47598, not in range
T29: Car appeared at 47622, not in range
T29: Car appeared at 47631, not in range
T29: Car appeared at 47643, not in range
T29: Car appeared at 47652, not in range
T29: Car appeared at 47663, not in range
T29: Car appeared at 47725, not in range
T29: Car from 47530 arrived at station 47500 and entered queue
T29: Car from 47530 began charging at station 47500 for 26 minutes
T30: Car appeared at 47550, not in range
T30: Car appeared at 47622, not in range
T30: Car appeared at 47625, not in range
T30: Car appeared at 47626, not in range
T30: Car appeared at 47652, not in range
T30: Car appeared at 47680, not in range
T30: Car appeared at 47690, not in range
T30: Car appeared at 47770, not in range
T31: Car appeared at 47612, not in range
T31: Car appeared at 47629, not in range
T32: Car appeared at 47470, driving for 24 mins to 47500
T32: Car appeared at 47558, not in range
T32: Car appeared at 47594, not in range
T32: Car appeared at 47612, not in range
T32: Car appeared at 47625, not in range
T32: Car appeared at 47652, not in range
T32: Car appeared at 47685, not in range
T33: Car appeared at 47340, not in range
T33: Car appeared at 47460, not in range
T33: Car appeared at 47500, driving for 0 mins to 47500
T33: Car appeared at 47610, not in range
T33: Car appeared at 47612, not in range
T33: Car appeared at 47656, not in range
T33: Car appeared at 47671, not in range
T33: Car appeared at 47690, not in range
T33: Car appeared at 47728, not in range
T33: Car appeared at 47740, not in range
T33: Car left station 47500
T33: Car from 47500 arrived at station 47500 and entered queue
T33: Car from 47500 began charging at station 47500 for 33 minutes
T34: Car appeared at 47440, not in range
T34: Car appeared at 47587, not in range
T34: Car appeared at 47598, not in range
T34: Car appeared at 47625, not in range
T34: Car appeared at 47627, not in range
T34: Car appeared at 47633, not in range
T34: Car appeared at 47635, not in range
T34: Car appeared at 47656, not in range
T34: Car appeared at 47673, not in range
T34: Car appeared at 47690, not in range
T34: Car appeared at 47790, not in range
T35: Car appeared at 47575, not in range
T35: Car appeared at 47594, not in range
T35: Car appeared at 47624, not in range
T35: Car appeared at 47643, not in range
T35: Car appeared at 47654, not in range
T35: Car left station 47500
T36: Car appeared at 47555, not in range
T36: Car appeared at 47604, not in range
T36: Car appeared at 47625, not in range
T36: Car appeared at 47654, not in range
T36: Car appeared at 47688, not in range
T37: Car appeared at 47590, not in range
T37: Car appeared at 47598, not in range
T37: Car appeared at 47635, not in range
T37: Car appeared at 47663, not in range
T37: Car appeared at 47688, not in range
T38: Car appeared at 47435, not in range
T38: Car appeared at 47584, not in range
T38: Car appeared at 47596, not in range
T38: Car appeared at 47635, not in range
T38: Car appeared at 47689, not in range
T38: Car appeared at 48010, not in range
T38: Car left station 47500
T38: Car left station 47500
T39: Car appeared at 47430, not in range
T39: Car appeared at 47490, driving for 12 mins to 47500
T39: Car appeared at 47575, not in range
T39: Car appeared at 47614, not in range
T39: Car appeared at 47625, not in range
T39: Car appeared at 47633, not in range
T39: Car appeared at 47643, not in range
T40: Car appeared at 47596, not in range
T40: Car appeared at 47627, not in range
T40: Car appeared at 47682, not in range
T40: Car appeared at 47805, not in range
T40: Car appeared at 47890, not in range
T40: Car from 47520 arrived at station 47500 and entered queue
T40: Car from 47520 began charging at station 47500 for 24 minutes
T41: Car appeared at 47290, not in range
T41: Car appeared at 47629, not in range
T41: Car appeared at 47647, not in range
T41: Car appeared at 47656, not in range
T41: Car appeared at 47673, not in range
T41: Car appeared at 47740, not in range
T41: Car appeared at 47786, not in range
T42: Car appeared at 47596, not in range
T42: Car appeared at 47635, not in range
T42: Car appeared at 47647, not in range
T43: Car appeared at 47390, not in range
T43: Car appeared at 47584, not in range
T43: Car appeared at 47635, not in range
T43: Car appeared at 47673, not in range
T43: Car from 47470 arrived at station 47500 and entered queue
T43: Car from 47470 began charging at station 47500 for 22 minutes
T44: Car appeared at 47450, not in range
T44: Car appeared at 47647, not in range
T44: Car appeared at 47656, not in range
T44: Car appeared at 47723, not in range
T45: Car appeared at 47647, not in range
T45: Car appeared at 47682, not in range
T46: Car appeared at 47435, not in range
T46: Car appeared at 47610, not in range
T46: Car appeared at 47629, not in range
T46: Car appeared at 47643, not in range
T46: Car appeared at 47695, not in range
T46: Car appeared at 47970, not in range
T47: Car appeared at 47610, not in range
T47: Car appeared at 47625, not in range
T48: Car appeared at 47487, driving for 13 mins to 47500
T48: Car appeared at 47577, not in range
T48: Car appeared at 47587, not in range
T48: Car appeared at 47622, not in range
T48: Car appeared at 47627, not in range
T48: Car appeared at 47654, not in range
T48: Car appeared at 47671, not in range
T48: Car appeared at 47695, not in range
T49: Car appeared at 47270, not in range
T49: Car appeared at 47578, not in range
T49: Car appeared at 47602, not in range
T49: Car appeared at 47625, not in range
T49: Car appeared at 47627, not in range
T49: Car appeared at 47633, not in range
T49: Car appeared at 47635, not in range
T49: Car appeared at 47652, not in range
T49: Car appeared at 47723, not in range
T50: Car appeared at 47612, not in range
T50: Car appeared at 47671, not in range
T50: Car appeared at 47672, not in range
T50: Car appeared at 47723, not in range
T50: Car appeared at 47728, not in range
T51: Car appeared at 47420, not in range
T51: Car appeared at 47587, not in range
T51: Car appeared at 47622, not in range
T51: Car appeared at 47643, not in range
T51: Car appeared at 47688, not in range
T51: Car from 47490 arrived at station 47500 and entered queue
T51: Car from 47490 began charging at station 47500 for 18 minutes
T52: Car appeared at 47587, not in range
T52: Car appeared at 47624, not in range
T52: Car appeared at 47625, not in range
T52: Car appeared at 47671, not in range
T52: Car appeared at 47720, not in range
T52: Car appeared at 47796, not in range
T53: Car appeared at 47530, driving for 18 mins to 47500
T53: Car appeared at 47607, not in range
T53: Car appeared at 47652, not in range
T53: Car appeared at 47689, not in range
T53: Car appeared at 47720, not in range
T53: Car appeared at 47730, not in range
T53: Car appeared at 47776, not in range
T54: Car appeared at 47604, not in range
T54: Car appeared at 47635, not in range
T54: Car appeared at 47685, not in range
T54: Car appeared at 47700, not in range
T54: Car appeared at 48006, not in range
T55: Car appeared at 47573, not in range
T55: Car appeared at 47625, not in range
T55: Car appeared at 47654, not in range
T55: Car appeared at 47671, not in range
T55: Car left station 47500
T56: Car appeared at 47430, not in range
T56: Car appeared at 47612, not in range
T56: Car appeared at 47635, not in range
T56: Car appeared at 47750, not in range
T56: Car from 47470 arrived at station 47500 and entered queue
T56: Car from 47470 began charging at station 47500 for 9 minutes
T57: Car appeared at 47625, not in range
T57: Car appeared at 47643, not in range
T57: Car appeared at 47667, not in range
T57: Car appeared at 47671, not in range
T58: Car appeared at 47425, not in range
T58: Car appeared at 47612, not in range
T59: Car appeared at 47374, not in range
T59: Car appeared at 47575, not in range
T59: Car appeared at 47610, not in range
T59: Car appeared at 47652, not in range
T59: Car appeared at 47700, not in range
T59: Car appeared at 47870, not in range
T59: Car appeared at 47980, not in range
T60: Car appeared at 47577, not in range
T60: Car appeared at 47723, not in range
T61: Car appeared at 47230, not in range
T61: Car appeared at 47555, not in range
T61: Car appeared at 47671, not in range
T61: Car appeared at 47672, not in range
T61: Car from 47487 arrived at station 47500 and entered queue
T61: Car from 47487 began charging at station 47500 for 23 minutes
T62: Car appeared at 47487, driving for 13 mins to 47500
T62: Car appeared at 47587, not in range
T62: Car appeared at 47602, not in range
T62: Car appeared at 47612, not in range
T62: Car appeared at 47622, not in range
T62: Car appeared at 47647, not in range
T62: Car appeared at 47970, not in range
T63: Car appeared at 47587, not in range
T63: Car appeared at 47590, not in range
T63: Car appeared at 47682, not in range
T63: Car appeared at 47689, not in range
T63: Car appeared at 47786, not in range
T63: Car appeared at 47980, not in range
T63: Car appeared at 48000, not in range
T64: Car appeared at 47598, not in range
T64: Car appeared at 47614, not in range
T64: Car appeared at 47671, not in range
T64: Car appeared at 47672, not in range
T64: Car left station 47500
T65: Car appeared at 47612, not in range
T65: Car appeared at 47652, not in range
T65: Car appeared at 47672, not in range
T65: Car appeared at 47682, not in range
T65: Car appeared at 47688, not in range
T65: Car appeared at 47700, not in range
T65: Car appeared at 47790, not in range
T65: Car left station 47500
T65: Car left station 47500
