LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47776,0,2019,401,,FWY,HWY 403 IC-235,731,WEST,3.37,0,,9,CTR,12,52,N/A,70600,94100,93700,57400,30,20800,T,1,35000,56000,70000,43.127569,-80.690477
47780,0,2019,401,,FWY,OXFORD RD 59 IC-232 NORWICH AV WOODSTOCK,732,WEST,2.09,0,,91,IR,11,51,N/A,77600,94400,93900,66100,33,25800,T,1,35000,56000,70000,43.110342,-80.735895
47784,0,2019,401,,FWY,SWEABURG RD IC-230 OXFORD RD 12,735,WEST,7.57,0,,30,IC,10,50,N/A,78100,85800,86200,70500,26,20300,T,1,35000,56000,70000,43.098074,-80.755771
47786,0,2019,401,,FWY,OXFORD RD 6 FOLDENS LINE IC-222,736,WEST,3.68,0,,37,CR,8,52,N/A,74500,86400,87000,66800,26,19500,T,1,35000,56000,70000,43.050384,-80.821644
47790,0,2019,401,,FWY,HWY 19 IC-218/OXFORD RD 119 PLANK LINE,737,WEST,2.53,0,,9,CTR,12,51,N/A,78400,104500,104000,63800,29,22700,T,1,35000,56000,70000,43.027227,-80.854049
47793,0,2019,401,,FWY,CULLODEN RD IC-216 OXFORD RD 10,740,WEST,7.47,0,,9,CTR,12,52,N/A,70000,93300,92900,57000,27,18600,T,1,35000,56000,70000,43.011948,-80.877337
47796,0,2019,401,,FWY,PUTNAM RD IC-208 MIDDLESEX RD 30,742,WEST,5.54,0,,37,CR,8,51,N/A,72700,84300,84900,65200,38,27600,T,1,35000,56000,70000,42.975547,-80.950376
47800,0,2019,401,,FWY,ELGIN RD MIDDLESEX RD 73 IC-203,743,WEST,3.69,0,,30,IC,10,53,N/A,72700,79900,80300,65600,28,20600,T,1,35000,56000,70000,42.965263,-81.016924
47805,0,2019,401,,FWY,DORCHESTER RD IC-199 MIDDLESEX RD 32,745,WEST,3.76,0,,37,CR,8,52,N/A,77200,89600,90200,69300,27,20800,T,1,35000,56000,70000,42.958206,-81.060766
47810,0,2019,401,,FWY,WESTCHESTER BOURNE MIDDLESEX RD 74 IC-195,746,WEST,1.86,0,,43,IR,9,51,N/A,76600,86800,87500,66600,22,16900,T,1,35000,56000,70000,42.947645,-81.10409
47815,0,2019,401,,FWY,VETERANS MEMORIAL IC-194,747,WEST,4.47,0,,37,CR,8,51,N/A,72900,84600,85100,65400,28,20400,T,1,35000,56000,70000,42.942831,-81.125045
47820,0,2019,401,,FWY,HIGHBURY AV IC-189,750,WEST,3.23,0,,30,IC,10,54,N/A,72400,79500,79900,65400,26,18800,T,1,35000,56000,70000,42.936225,-81.178623
47823,0,2019,401,,FWY,WELLINGTON RD IC-186,755,WEST,2.66,0,,90,C,6,54,N/A,63400,69300,68900,57400,29,18400,T,1,35000,56000,70000,42.922286,-81.212148
47826,0,2019,401,,FWY,HWY 402 IC-183,757,WEST,3.861,0,,74,UC,9,54,W,29000,28600,29000,27900,35,10300,T,1,35000,56000,70000,42.906356,-81.231062
47828,0,2019,401,,FWY,WONDERLAND RD IC-180,758,WEST,2.669,0,,74,UC,9,54,W,29000,28600,29000,27900,35,10200,R,1,35000,56000,70000,42.874283,-81.258007
47830,0,2019,401,,FWY,HWY 4/COL. TALBOT RD IC-177,760,WEST,12.56,0,,74,UC,9,52,N/A,25800,25400,25800,24900,35,8900,T,1,35000,56000,70000,42.853286,-81.274924
47840,0,2019,401,,FWY,UNION RD IC-164 ELGIN RD 20,764,WEST,6.68,0,,9,CTR,12,54,N/A,26200,34900,34800,21300,34,8900,T,1,35000,56000,70000,42.771923,-81.379534
47845,0,2019,401,,FWY,IONA RD IC-157 ELGIN RD 14,766,WEST,8.85,0,,9,CTR,12,53,N/A,26300,35000,34900,21400,34,9000,T,1,35000,56000,70000,42.730485,-81.438558
47850,0,2019,401,,FWY,CURRIE RD IC-149 ELGIN RD 8,770,WEST,11.22,0,,90,C,6,51,N/A,24500,26800,26600,22200,37,9100,T,1,35000,56000,70000,42.675698,-81.516689
47860,0,2019,401,,FWY,ELGIN RD 76 GRAHAM RD IC-137,775,WEST,8.08,0,,90,C,6,51,N/A,24000,26200,26100,21700,40,9600,T,1,35000,56000,70000,42.617038,-81.62427
47870,0,2019,401,,FWY,FURNIVAL RD IC-129 ELGIN RD 103,777,WEST,12.91,0,,90,C,6,51,N/A,22700,24800,24700,20500,40,9050,T,1,35000,56000,70000,42.585287,-81.706299
47880,0,2019,401,,FWY,CHATHAM KENT RD 20 ORFORD RD IC-117,780,WEST,7.92,0,,37,CR,8,53,N/A,23100,26800,27000,20700,38,8800,T,1,35000,56000,70000,42.517179,-81.830136
47890,0,2019,401,,FWY,CHATHAM KENT RDS 17/21 VICTORIA RD IC-109,790,WEST,7.3,0,,90,C,6,52,N/A,22800,24900,24800,20600,40,9000,T,1,35000,56000,70000,42.482341,-81.910673
47900,0,2019,401,,FWY,CHATHAM KENT RD 15/KENT BRIDGE RD IC-101,810,WEST,11.67,0,,90,C,6,52,N/A,24200,26500,26300,21900,41,10000,T,1,35000,56000,70000,42.437841,-81.975994
47910,0,2019,401,,FWY,HWY 40 IC-90 CHAT KENT RD 11 COMMUNICATION RD,815,WEST,8.38,0,,90,C,6,55,N/A,20400,22300,22200,18500,43,8850,T,1,35000,56000,70000,42.382133,-82.092297
47920,0,2019,401,,FWY,CHATHAM KENT RD 27 BLOOMFIELD RD IC-81,820,WEST,18.05,0,,30,IC,10,50,N/A,22600,24800,25000,20400,43,9650,T,1,35000,56000,70000,42.350896,-82.184097
47940,0,2019,401,,FWY,CHATHAM KENT RD 2 QUEEN'S LINE IC-63,910,WEST,7.14,0,,90,C,6,50,N/A,24400,26700,26500,22100,35,8600,T,1,35000,56000,70000,42.279311,-82.374342
47950,0,2019,401,,FWY,ESSEX RD 42 IC-56,915,WEST,8.44,0,,90,C,6,50,N/A,27600,30200,30000,25000,35,9600,T,1,35000,56000,70000,42.263657,-82.457231
47960,0,2019,401,,FWY,HWY 77 IC-48 (S)/ESSEX RD 35 (N) COMBER RD,916,WEST,7.31,0,,9,CTR,12,52,N/A,22600,30100,30000,18400,30,6800,T,1,35000,56000,70000,42.244137,-82.552171
47970,0,2019,401,,FWY,ESSEX RD 31/FRENCHLINE RD,920,WEST,6.25,0,,30,IC,10,50,N/A,24000,26400,26500,21700,30,7300,T,1,35000,56000,70000,42.232263,-82.637266
47980,0,2019,401,,FWY,ESSEX RD 27 IC-34,922,WEST,6.24,0,,74,UC,9,58,N/A,23900,23500,23900,23000,29,6900,T,1,35000,56000,70000,42.236105,-82.712793
47990,0,2019,401,,FWY,PUCE RD IC-28 ESSEX RD 25,923,WEST,7.08,0,,30,IC,10,57,N/A,24600,27000,27200,22200,39,9600,T,1,35000,56000,70000,42.239119,-82.787934
48000,0,2019,401,,FWY,ESSEX RD 19 IC-21 MANNING RD,924,WEST,7.01,0,,90,C,6,58,N/A,23700,25900,25800,21500,25,5850,T,1,35000,56000,70000,42.24159,-82.873918
48006,0,2019,401,,FWY,ESSEX RD 46 IC-14 PROVINCIAL RD,925,WEST,0.83,0,,90,C,6,58,N/A,17800,19500,19300,16100,40,7100,T,1,35000,56000,70000,42.245221,-82.954095
48010,0,2019,401,,FWY,DIVERSION TO TUNNEL IC-13,935,WEST,2.378,0,,30,IC,10,50,N/A,16400,18000,18100,14800,6,980,T,1,35000,56000,70000,42.274185,-83.078569
