LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47410,0,2019,401,,FWY,HWY 15 IC-623,170,EAST,3.76,0,,30,IC,10,54,N/A,46000,50500,50800,41500,25,11500,T,1,35000,56000,70000,44.289132,-76.429818
47413,0,2019,401,,FWY,MONTREAL ST IC-619,175,EAST,2.3,0,,37,CR,8,51,N/A,46100,53500,53800,41400,25,11500,T,1,35000,56000,70000,44.277867,-76.473443
47415,0,2019,401,,FWY,DIVISION ST IC-617 KINGSTON,180,EAST,1.58,0,,37,CR,8,53,N/A,47600,55200,55600,42700,21,10000,T,1,35000,56000,70000,44.269185,-76.499091
47416,0,2019,401,,FWY,SIR JOHN A MACDONALD BV IC-615,181,EAST,2.16,0,,30,IC,10,58,N/A,49200,54000,54300,44400,21,10300,T,1,35000,56000,70000,44.271819,-76.518541
47417,0,2019,401,,FWY,SYDENHAM RD IC-613,185,EAST,2.27,0,,9,CTR,12,56,N/A,58600,78100,77700,47700,21,12300,T,1,35000,56000,70000,44.2772,-76.544281
47420,0,2019,401,,FWY,HWY 38 IC-611,190,EAST,11.92,0,,9,CTR,12,64,N/A,39800,53000,52800,32400,22,8800,T,1,35000,56000,70000,44.285607,-76.570565
47425,0,2019,401,,FWY,WILTON RD IC-599,210,EAST,5.57,0,,9,CTR,12,62,N/A,40000,53300,53100,32500,21,8500,T,1,35000,56000,70000,44.282605,-76.715907
47430,0,2019,401,,FWY,IC 593 CAMDEN E RD,215,EAST,11.18,0,,9,CTR,12,61,N/A,39700,52900,52700,32300,23,8950,T,1,35000,56000,70000,44.279403,-76.78566
47435,0,2019,401,,FWY,PALACE RD IC-582,220,EAST,3.41,0,,9,CTR,12,60,N/A,39100,52100,51900,31800,23,8800,T,1,35000,56000,70000,44.269941,-76.925048
47440,0,2019,401,,FWY,L&A CTY RD 41 IC-579 CENTRE ST,225,EAST,8.26,0,,43,IR,9,63,N/A,41600,47100,47500,36200,21,8750,T,1,35000,56000,70000,44.2648,-76.965071
47445,0,2019,401,,FWY,DESERONTO RD IC-570,230,EAST,4.09,0,,9,CTR,12,59,N/A,37300,49700,49500,30300,23,8450,T,1,35000,56000,70000,44.244564,-77.063745
47450,0,2019,401,,FWY,HWY 49 IC-566 HASTINGS RD 15 MARYSVILLE RD,245,EAST,10.5,0,,9,CTR,12,60,N/A,40700,54200,54000,33100,26,10500,T,1,35000,56000,70000,44.237377,-77.114422
